cluster,n,top_terms
9,4742,"new, news, poverty, 2024, united, says, school, united kingdom, kingdom, women, hospital, report"
4,1022,"new, calls, women, 2024, funding, solar, council, news, education, county, school, kids"
2,1016,"state, state union, union, women, new, 2024, address, poverty, biden, president, union address, future"
5,972,"2024, new, county, women, india, poverty, 2023, united, schools, report, global, children"
23,935,"world, united, country, news, new, industry, women, 2024, states, poverty, kingdom, united states"
26,769,"health, public, public health, health care, mental, care, mental health, measles, department, officials, emergency, health emergency"
58,572,"climate change, climate, change, study, new, fight climate, fight, says, heat, impact, farmers, world"
56,315,"la, para, en, el, las, méxico, por, que, millones, salud, noticias, al"
6,262,"el, en, en el, la, por, mundo, el mundo, del, se, para, gobierno, por el"
35,254,"energy, clean, clean energy, solar, solar energy, energy transition, transition, new, project, green, green energy, fund"
43,239,"water, drinking water, drinking, river, colorado, colorado river, california, water quality, quality, long, state, leak"
48,234,"la, el, para, los, del, una, que, se, por, pobreza, las, la pobreza"
54,230,"cop29, pour, gaza, global, la, chief, general, assembly, urges, du, rights, progress"
49,222,"announces, results, quarter, fourth quarter, fourth, 2023, million, year, financial, quarter year, announces fourth, year 2023"
34,209,"los, en, el, la, para, del, por, una, que, las, en los, océanos"
