lang,english,spanish,german,french,italian,indonesian,portuguese,romanian,turkish,chinese
english,0.0,0.055627499563225824,0.18556313343476388,0.15430932116533763,0.1457964391766568,0.16448809786254537,0.1242132773727026,0.15884303937857325,0.19971626740364976,0.07992492729725476
spanish,0.055627499563225824,0.0,0.08526116137023168,0.0597636244557955,0.05658646803665439,0.0689738567712241,0.057586754809318755,0.06253562754108864,0.08859147140250527,0.15240273847156066
german,0.18556313343476388,0.08526116137023168,0.0,0.020431867298287075,0.032089257464530715,0.020337821648981576,0.06742363223081557,0.016375128495134745,0.012856996489050206,0.2570766435149839
french,0.15430932116533763,0.0597636244557955,0.020431867298287075,0.0,0.02435861664367183,0.026281255237363306,0.06818817600318813,0.014597246795445424,0.025840694495655223,0.20274930211982228
italian,0.1457964391766568,0.05658646803665439,0.032089257464530715,0.02435861664367183,0.0,0.018094461612605337,0.05260727563948568,0.011371478254926558,0.02419241038050688,0.20807821850482558
indonesian,0.16448809786254537,0.0689738567712241,0.020337821648981576,0.026281255237363306,0.018094461612605337,0.0,0.07529922590122813,0.015770069627325956,0.014102414512655894,0.21744130509090473
portuguese,0.1242132773727026,0.057586754809318755,0.06742363223081557,0.06818817600318813,0.05260727563948568,0.07529922590122813,0.0,0.05791590422689101,0.07245306248270703,0.21591694012109308
romanian,0.15884303937857325,0.06253562754108864,0.016375128495134745,0.014597246795445424,0.011371478254926558,0.015770069627325956,0.05791590422689101,0.0,0.01236506274886465,0.2230794041729455
turkish,0.19971626740364976,0.08859147140250527,0.012856996489050206,0.025840694495655223,0.02419241038050688,0.014102414512655894,0.07245306248270703,0.01236506274886465,0.0,0.2615641731641422
chinese,0.07992492729725476,0.15240273847156066,0.2570766435149839,0.20274930211982228,0.20807821850482558,0.21744130509090473,0.21591694012109308,0.2230794041729455,0.2615641731641422,0.0
