source_country,sdg,weight
United States,SDG17_Partnerships,22453
Spain,SDG17_Partnerships,9762
United States,SDG3_Good_Health,8378
Germany,SDG17_Partnerships,7960
United Kingdom,SDG17_Partnerships,6670
Italy,SDG17_Partnerships,4773
Argentina,SDG17_Partnerships,3925
Canada,SDG17_Partnerships,3704
India,SDG17_Partnerships,3306
France,SDG17_Partnerships,3108
Australia,SDG17_Partnerships,2927
Indonesia,SDG17_Partnerships,2918
Mexico,SDG17_Partnerships,2584
United States,SDG4_Quality_Education,2506
United States,SDG13_Climate_Action,2456
